id,type,name,creator,starring,year,rating,time,genres,country,describle
80209379,tv show,tidying up with marie kondo,guillermo del toro,marie kondo,2019,tv-y7,1 season,"tv shows based on books ,makeover reality tv ,reality tv ,home & garden reality tv ,lifestyle",united states,"in a series of inspiring home makeovers, world-renowned tidying expert marie kondo helps clients clear out the clutter -- and choose joy."
80095299,tv show,ultimate beastmaster,dave broome,"tiki barber, cm punk, terry crews",2017,tv-y7,3 seasons,"family watch together tv ,competition reality tv ,reality tv",united states,"in this intense obstacle course series, elite athletes from the u.s. and other countries compete for cash prizes, individual glory and national pride."
81016914,tv show,tiny house nation,guillermo del toro,"john weisbarth, zack giffin",2019,tv-14,2 seasons,"makeover reality tv ,reality tv ,home & garden reality tv ,lifestyle",united states,"traveling the u.s., host john weisbarth and expert zack giffin are helping families prep for the tiny lifestyle and create hypercustomized mini homes."
81077065,tv show,terrace house: tokyo 2019-2020,guillermo del toro,"you, reina triendl, yoshimi tokui",2019,tv-ma,2 seasons,"wedding & romance reality tv ,reality tv",japan,six strangers in tokyo look for love under the same roof. some episodes have been removed out of respect for a cast member's family.
81498937,tv show,falling in love like a romantic drama,guillermo del toro,"naomi watanabe, tomoya maeno, shusuke fukutoku",2018,tv-pg,3 seasons,"competition reality tv ,wedding & romance reality tv ,reality tv",japan,naomi watanabe hosts a reality show in which eight young actors perform kissing scenes in a drama. then the camera follows them to see if sparks fly!
80226927,tv show,rea(l)ove,guillermo del toro,"atsushi tamura, mari yaguchi",2018,tv-ma,1 season,"competition reality tv ,wedding & romance reality tv ,reality tv",japan,"a group of men and women, each burdened with a dark secret, look for love in this dating show with a twist. hosted by reformed playboy atsushi tamura."
81216119,tv show,j-style trip,guillermo del toro,"jay chou, jam hsiao, jj lin",2020,tv-y,1 season,"food & travel tv ,reality tv ,lifestyle ,variety tv",china,megastar jay chou joins his a-list friends in this globe-trotting variety show packed with music and magic tricks.
80174280,tv show,ainori love wagon: asian journey,guillermo del toro,"becky, audrey, mayuko kawakita",2017,tv-14,2 seasons,"food & travel tv ,wedding & romance reality tv ,reality tv ,lifestyle",japan,"seven men and women board a pink bus in search of true love. on a journey through asia with strangers, their goal is to return to japan as a couple."
81038696,tv show,ainori love wagon: african journey,guillermo del toro,"becky, ryo kato, karina maruyama",2019,tv-pg,1 season,"food & travel tv ,wedding & romance reality tv ,reality tv ,lifestyle",japan,"to find love, seven strangers leave japan and embark on a journey through the continent of africa together. challenges, adventure and romance await!"
81443720,tv show,the future diary,guillermo del toro,"daigo, chinatsu wakatsuki, satoshi mukai",2021,tv-pg,2 seasons,"wedding & romance reality tv ,reality tv",japan,"in this reality series, complete strangers meet and receive a diary holding the script to their very own love story. will true romance follow?"
81642184,tv show,is she the wolf?,guillermo del toro,"natsuko yokosawa, karen takizawa, riku",2023,tv-pg,1 season,"wedding & romance reality tv ,reality tv",japan,"they're all here to look for true romance — but hidden among the women is at least one ""wolf"" who's prohibited from falling in love."
81660188,tv show,camokakis: whole lot fall in!,guillermo del toro,"paul foster, laanya ezraa",2022,tv-pg,1 season,"competition reality tv ,reality tv",singapore,celebrity guests gain firsthand experience in what it takes to make it in the singapore armed forces by competing in physically challenging missions.
80189648,tv show,hyperdrive,guillermo del toro,"michael bisping, lindsay czarniak, mike hill",2019,tv-y,1 season,"competition reality tv ,reality tv",united states,"elite street racers from around the world test their limits in supercharged custom cars on the biggest, baddest automotive obstacle course ever built."
81586274,tv show,the big nailed it baking challenge,guillermo del toro,"nicole byer, jacques torres",2023,tv-y,1 season,"family watch together tv ,food & travel tv ,competition reality tv ,reality tv",united states,"in this high-stakes ""nailed it!"" spinoff competition, 10 terrible bakers pick up tips from professional coaches while vying for a sweet cash prize."
81024999,tv show,sing on!,guillermo del toro,tituss burgess,2020,tv-14,1 season,"music ,competition reality tv ,reality tv",united states,"in this fun, fast-paced music contest hosted by tituss burgess, players sing their hearts out and try to hit the right notes to win up to $60,000."
81228402,tv show,below deck,guillermo del toro,"eddie lucas, amy johnson, kelly johnson",2012,tv-ma,2 seasons,"science & nature tv ,reality tv",united states,"as staff on a luxury yacht, a young crew navigates life at sea as workplace romances, demanding guests and waves of drama threaten their happy voyage."
81598495,tv show,the ultimatum: queer love,guillermo del toro,joanna garcia swisher,2023,tv-ma,1 season,reality tv,united states,"tie the knot or call it quits? five long-term couples are put under pressure to get married or move on in this queer-centric spin-off of ""the ultimatum."""
